smiles,canonical_smiles,sascore,unique_hydrogens,unique_carbons,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
CC=CCCCCCCCCCC=C,C=CCCCCCCCCCC=CC,2.2825767395382908,14,14,0.6139765977859497,0.005452467128634453,0.39997023344039917,0.29404234886169434,1.0193992983549833,0.296339213848114,0.4960642457008362,0.1588321030139923,0.6666666666666666
C/C=C/CCCCCCCCCC=C,C=CCCCCCCCCC/C=C/C,2.2825767395382908,14,14,0.5954415202140808,0.028159745037555695,0.3641832172870636,0.2954147458076477,0.9877844825387001,0.29085254669189453,0.507210910320282,0.15095125138759613,0.6666666666666666
C=C.C1CCC(CC1)C2CCCCC2,C1CCC(C2CCCCC2)CC1.C=C,1.8770180966532273,5,5,0.8891319036483765,-0.06139809638261795,0.14411291480064392,0.3582938015460968,0.9718467220664024,0.46548032760620117,0.6048442125320435,-0.019743336364626884,0.4166666666666667
CCCCCCCCCC(=C)CC=C,C=CCC(=C)CCCCCCCCC,2.394340940721724,13,14,0.7754147052764893,-0.11260799318552017,0.3043266832828522,0.28605011105537415,0.9671333953738213,0.34643375873565674,0.5629260540008545,0.018330931663513184,0.9090909090909091
CCCCCCCCCC=CCC=C,C=CCC=CCCCCCCCCC,2.2773221241536774,14,14,0.7094966173171997,-0.10966179519891739,0.36476948857307434,0.26352280378341675,0.9646043106913567,0.29803889989852905,0.5306592583656311,0.052171267569065094,0.6153846153846154
CC(CCCCCCCCC=C)C=C,C=CCCCCCCCCC(C)C=C,2.879338686197297,14,14,0.6224690079689026,-0.0485246479511261,0.3841005563735962,0.2836313247680664,0.9580449163913727,0.301917165517807,0.49236035346984863,0.10962709784507751,0.6153846153846154
CCCCCCCC/C=C/CC=CC,CC=CC/C=C/CCCCCCCC,2.372351739538292,14,14,0.5900278687477112,0.07397854328155518,0.2831321656703949,0.2984204888343811,0.9471385776996613,0.34169548749923706,0.4563785791397095,0.14442428946495056,0.6153846153846154
CC.CCC=C.C=C.C1CC=CC=C1,C1=CCCC=C1.C=C.C=CCC.CC,3.195188277999831,9,9,0.6628506183624268,-0.13399237394332886,0.4039710760116577,0.29463180899620056,0.9328293204307556,0.25221574306488037,0.539918839931488,0.11731884628534317,0.5
CCCCCCCCC/C=C/CC=C,C=CC/C=C/CCCCCCCCC,2.2773221241536774,14,14,0.6680439114570618,-0.08303587138652802,0.3436824381351471,0.2817468047142029,0.9286904782056808,0.30849123001098633,0.5276254415512085,0.06749016046524048,0.6153846153846154
CCC[C@@H](CCC/C=C\C)C(C)C=C,C=CC(C)[C@@H](CCC)CCC/C=C\C,3.7547347116602534,14,14,0.611076831817627,-0.01818409189581871,0.3327985405921936,0.26581424474716187,0.9256912805140018,0.28968673944473267,0.45814067125320435,0.1252160370349884,0.5333333333333333
CC/C=C/CCCCCCCCC=C,C=CCCCCCCCC/C=C/CC,2.2886655856921383,14,14,0.6091699600219727,-0.0216203685849905,0.3373996913433075,0.29699456691741943,0.9249492827802896,0.3151629865169525,0.5035207867622375,0.1087028980255127,0.6666666666666666
C=C1CCCCCCCCCCCC1,C=C1CCCCCCCCCCCC1,2.3112005441059953,7,8,0.9258721470832825,-0.14547941088676453,0.13446331024169922,0.3823722004890442,0.9148560464382172,0.478440523147583,0.6487596035003662,-0.046474386006593704,1.0
CC(=C)CCCCCCCCCC=C,C=CCCCCCCCCCC(=C)C,2.2251160886507186,13,14,0.749000608921051,-0.1910313367843628,0.35653460025787354,0.2877058684825897,0.9145038723945618,0.308838427066803,0.5713413953781128,0.024603700265288353,1.0
C/C=C/CCCCCCCC/C=C/C,C/C=C/CCCCCCCC/C=C/C,2.374329681893407,7,7,0.4583815336227417,0.15885254740715027,0.2936490476131439,0.27435845136642456,0.9108831286430359,0.28248968720436096,0.4031705856323242,0.19248828291893005,0.6666666666666666
CCCCCCCC/C=C\CCC=C,C=CCC/C=C\CCCCCCCC,2.281247508769061,14,14,0.6530262231826782,-0.04360134154558182,0.29398053884506226,0.26391881704330444,0.9034054204821587,0.31654393672943115,0.4618683457374573,0.08782191574573517,0.6666666666666666
C=CCCCCCCCCCCC=C,C=CCCCCCCCCCCC=C,1.9725599309727535,7,7,0.6336909532546997,-0.17543935775756836,0.44058024883270264,0.26673662662506104,0.898831844329834,0.2605486512184143,0.5265939235687256,0.05991378799080849,0.8
CC=C(C)CCCCCCCCC=C,C=CCCCCCCCCC(C)=CC,2.3873930117276405,13,14,0.52837735414505,0.03874116390943527,0.3292546272277832,0.24894815683364868,0.8963731452822685,0.26745426654815674,0.40884676575660706,0.15126200020313263,0.7692307692307693
CCCCCC/C=C\CCCCC=C,C=CCCCC/C=C\CCCCCC,2.233654816461369,14,14,0.7031148672103882,-0.00032865628600120544,0.19163067638874054,0.2785467505455017,0.8944168873131275,0.3717840015888214,0.45791149139404297,0.06552254408597946,0.6666666666666666
