smiles,canonical_smiles,sascore,unique_hydrogens,unique_carbons,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
CC(C)C1=NC(=CC(=C1)C(=O)O)N2C=C(C=N2)Cl,CC(C)c1cc(C(=O)O)cc(-n2cc(Cl)cn2)n1,2.5947344212823396,7,11,0.3843576908111572,0.2944018244743347,0.20300030708312988,0.26014217734336853,0.8817598223686218,0.3012801706790924,0.2954604923725128,0.24731311202049255,0.30293159609120524
CC(C(=O)NC1=CC=C(C=C1)C2=CC(=O)NN2)Cl,CC(Cl)C(=O)Nc1ccc(-c2cc(=O)[nH][nH]2)cc1,2.8210578815266576,8,10,0.1940796971321106,0.4051417410373688,0.27632826566696167,0.27295899391174316,0.875549703836441,0.2907138764858246,0.20535370707511902,0.3478870689868927,0.12883435582822086
CC(C(=O)NC1=CC2=C(C=C1)C(=O)N(C=N2)C)Cl,CC(Cl)C(=O)Nc1ccc2c(=O)n(C)cnc2c1,2.5923853728924353,8,12,0.38681185245513916,0.2763211131095886,0.20775721967220306,0.2746747136116028,0.8708901852369308,0.3240099549293518,0.29150810837745667,0.24151472747325897,0.19805194805194806
CC(C)(C1=NOC(=N1)C2=CC=C(C=C2)Cl)C(=O)N,CC(C)(C(N)=O)c1noc(-c2ccc(Cl)cc2)n1,2.3906873255209575,4,9,0.18771371245384216,0.19900107383728027,0.4697815179824829,0.2551257610321045,0.8564963042736053,0.20741014182567596,0.2806369364261627,0.28803157806396484,0.12462908011869436
CC(=O)N1C2=C(C=C(C=C2)Cl)C(=N1)N(C)C(=O)C,CC(=O)N(C)c1nn(C(C)=O)c2ccc(Cl)cc12,2.6616346567611444,6,12,0.43236467242240906,0.39803415536880493,0.011105021461844444,0.27917832136154175,0.8415038492530584,0.38538622856140137,0.26184436678886414,0.22164931893348694,0.28104575163398693
CC(C)(C1=NC(=NO1)C2=CC=C(C=C2)Cl)C(=O)N,CC(C)(C(N)=O)c1nc(-c2ccc(Cl)cc2)no1,2.374360166965227,4,9,0.19392496347427368,0.1861867904663086,0.4610052704811096,0.254691481590271,0.8411170244216919,0.20005998015403748,0.2826348841190338,0.28683924674987793,0.14114114114114115
CC(C)(C1=NN=C(O1)C2=CC=C(C=C2)Cl)C(=O)N,CC(C)(C(N)=O)c1nnc(-c2ccc(Cl)cc2)o1,2.3935921920829664,4,9,0.22348231077194214,0.13676351308822632,0.44235965609550476,0.2531116008758545,0.8026054799556732,0.20529893040657043,0.29450660943984985,0.24472615122795105,0.15151515151515152
CC(C)C1=NN(C=C1)C2=C(C=C(C=N2)C(=O)O)Cl,CC(C)c1ccn(-c2ncc(C(=O)O)cc2Cl)n1,2.4781526316434057,7,11,0.3062151372432709,0.3468068242073059,0.14760498702526093,0.2516322731971741,0.8006269484758377,0.2874343991279602,0.2132548838853836,0.29908937215805054,0.3333333333333333
CC(C)[N+]1=NOC(=C1Cl)/N=C(/C2=CC=CC=C2)\[O-],CC(C)[n+]1noc(/N=C(\[O-])c2ccccc2)c1Cl,3.63320404137653,5,9,0.3411294221878052,0.30912351608276367,0.14625971019268036,0.28432101011276245,0.7965126484632492,0.3388848304748535,0.2525451183319092,0.2454022318124771,0.25766871165644173
CC(C)C1=NN=CN1C2=C(C=CC(=C2)C(=O)O)Cl,CC(C)c1nncn1-c1cc(C(=O)O)ccc1Cl,2.3610339503247246,7,11,0.1826602816581726,0.25400155782699585,0.31699419021606445,0.18220384418964386,0.7536560297012329,0.18768416345119476,0.18876253068447113,0.259835422039032,0.31316725978647686
