smiles,canonical_smiles,sascore,unique_hydrogens,unique_carbons,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
CCCOC1=C(C=C(C=C1Br)F)C(=O)O,CCCOc1c(Br)cc(F)cc1C(=O)O,2.0794458111116114,6,10,0.4120805263519287,0.29114776849746704,0.3647668957710266,0.3358335793018341,1.0679951906204224,0.33013278245925903,0.3764640986919403,0.3213355541229248,0.46357615894039733
CCCOC1=CC(=CC(=C1F)C(=O)O)Br,CCCOc1cc(Br)cc(C(=O)O)c1F,2.1389704264962237,6,10,0.291323721408844,0.25804603099823,0.3719812333583832,0.2718580961227417,0.9213509857654572,0.2293609380722046,0.3311436176300049,0.30024468898773193,0.5454545454545454
C1=CC(=C(C=C1C(=O)O)F)OCCCBr,O=C(O)c1ccc(OCCCBr)c(F)c1,1.9342336816557015,7,10,0.27262619137763977,0.0882190465927124,0.3677631616592407,0.18052396178245544,0.7286083996295929,0.08638215810060501,0.3447186350822449,0.2060452401638031,0.4676258992805755
CCCOC1=C(C(=C(C=C1)C(=O)O)Br)F,CCCOc1ccc(C(=O)O)c(Br)c1F,2.252238888034686,6,10,0.07489126920700073,0.27605268359184265,0.3620316982269287,0.1898064911365509,0.7129756510257721,0.12887918949127197,0.19644325971603394,0.3150272071361542,0.5957446808510638
COC1=CC(=C(C2=C1OCCCO2)F)Br,COc1cc(Br)c(F)c2c1OCCCO2,2.6039221297929274,5,10,0.851062536239624,-0.13462072610855103,-0.008429499343037605,0.22834977507591248,0.7080123107880354,0.2972100079059601,0.5091844797134399,-0.07462877780199051,1.0
COC1=C(C=C2C(=C1Br)OCCCO2)F,COc1c(F)cc2c(c1Br)OCCCO2,2.623052899023696,5,10,0.85533607006073,-0.18733081221580505,0.02255420759320259,0.2317841649055481,0.6905594654381275,0.29136258363723755,0.5090238451957703,-0.08214907348155975,0.8640776699029126
CCCOC1=C(C(=CC(=C1)Br)F)C(=O)O,CCCOc1cc(Br)cc(F)c1C(=O)O,2.128779657265456,6,10,0.34081336855888367,0.09598276764154434,0.24107298254966736,0.22797264158725739,0.6778691187500954,0.1920890361070633,0.28829532861709595,0.1932104080915451,0.49333333333333335
CC(=O)C1=C(C(=CC(=C1)Br)OCOC)F,COCOc1cc(Br)cc(C(C)=O)c1F,2.427226580342378,5,10,0.6472788453102112,-0.07915700972080231,0.09312576055526733,0.24050557613372803,0.6612475961446762,0.2822999358177185,0.3958706259727478,0.010396264493465424,0.4258064516129032
COC1=C(C=C(C=C1F)CC(=O)O)CBr,COc1c(F)cc(CC(=O)O)cc1CBr,2.3467769649577637,6,10,0.2509162127971649,0.3055082857608795,0.07014916092157364,0.21409034729003906,0.6265736594796181,0.24925114214420319,0.18719132244586945,0.2245246022939682,0.35947712418300654
COC1=CC(=C(C(=C1)F)CBr)CC(=O)O,COc1cc(F)c(CBr)c(CC(=O)O)c1,2.4060004264962256,6,10,0.3940023183822632,0.15459983050823212,0.07236118614673615,0.26776909828186035,0.6209633350372314,0.2884790301322937,0.28305989503860474,0.15467028319835663,0.3125
COCCOC1=C(C(=CC(=C1)Br)F)C=O,COCCOc1cc(Br)cc(F)c1C=O,2.4235128561397516,6,10,0.5372185707092285,-0.07742336392402649,0.14122892916202545,0.2406027913093567,0.6010241359472275,0.23508885502815247,0.3786977529525757,0.04638523608446121,0.4788732394366197
COC1=C(C=C(C=C1CBr)F)CC(=O)O,COc1c(CBr)cc(F)cc1CC(=O)O,2.3703535034193006,6,10,0.3590168356895447,0.16253966093063354,0.07539600133895874,0.21798008680343628,0.596952497959137,0.22648368775844574,0.2607523798942566,0.16786067187786102,0.3096774193548387
