smiles,canonical_smiles,sascore,unique_hydrogens,unique_carbons,ir_similarity,cnmr_similarity,hnmr_similarity,similarity,sum_of_similarities,cnmr_ir_similarity,ir_hnmr_similarity,cnmr_hnmr_similarity,tanimoto
COCNCC1=CC=C(C=C1)F,COCNCc1ccc(F)cc1,1.9546917876521803,6,7,0.7652344703674316,0.1725269854068756,0.6959741115570068,0.44331178069114685,1.633735567331314,0.3942970633506775,0.7448169589042664,0.29887107014656067,0.6578947368421053
CNC[C@@H](C1=CC=C(C=C1)F)O,CNC[C@H](O)c1ccc(F)cc1,2.261402674285238,7,7,0.8926506042480469,0.12593570351600647,0.5615866184234619,0.4707814157009125,1.5801729261875153,0.44919317960739136,0.7542727589607239,0.2759484052658081,0.5494505494505495
CNC[C@H](C1=CC=C(C=C1)F)O,CNC[C@@H](O)c1ccc(F)cc1,2.261402674285238,7,7,0.8884555101394653,0.1268114447593689,0.5643398761749268,0.4723745584487915,1.579606831073761,0.44912874698638916,0.7531123161315918,0.28002169728279114,0.5494505494505495
CNCC(C1=CC=C(C=C1)F)O,CNCC(O)c1ccc(F)cc1,2.261402674285238,7,7,0.8873683214187622,0.11490601301193237,0.5760157108306885,0.4707944989204407,1.578290045261383,0.4433969557285309,0.7578999996185303,0.2744617462158203,0.5494505494505495
CNCC(C1=CC(=CC=C1)F)O,CNCC(O)c1cccc(F)c1,2.35906001694258,9,9,0.7994328737258911,0.21202194690704346,0.536358118057251,0.4379802346229553,1.5478129386901855,0.4284375309944153,0.6824175715446472,0.297885537147522,0.5376344086021505
CNC[C@H](C1=CC(=CC=C1)F)O,CNC[C@@H](O)c1cccc(F)c1,2.35906001694258,9,9,0.8135974407196045,0.21695436537265778,0.5066606402397156,0.437653124332428,1.5372124463319778,0.43998032808303833,0.6812455654144287,0.2874472141265869,0.5376344086021505
CC(NCC1=CC=C(C=C1)F)O,CC(O)NCc1ccc(F)cc1,2.333818058900624,7,7,0.801856279373169,0.1735951155424118,0.5598400235176086,0.4285721778869629,1.5352914184331894,0.4215838313102722,0.6747438907623291,0.29591041803359985,0.8108108108108109
C1=CC(=CC=C1CNCCO)F,OCCNCc1ccc(F)cc1,1.5930221043942616,7,7,0.865852415561676,0.09190360456705093,0.5761685371398926,0.4480588734149933,1.5339245572686195,0.4074632227420807,0.7650973200798035,0.23804061114788055,1.0
CNC[C@@H](C1=CC(=CC=C1)F)O,CNC[C@H](O)c1cccc(F)c1,2.35906001694258,9,9,0.8154131770133972,0.2064388245344162,0.5076310634613037,0.4369392991065979,1.5294830650091171,0.4382705092430115,0.6844692826271057,0.28047505021095276,0.5376344086021505
CNCC1=CC=C(C=C1)F.C=O,C=O.CNCc1ccc(F)cc1,1.7550998740629247,6,7,0.621779203414917,0.18088331818580627,0.7199187278747559,0.4678952991962433,1.5225812494754791,0.3841078281402588,0.6494224667549133,0.38151678442955017,0.7272727272727273
CNC[C@@H](C1=CC=CC=C1F)O,CNC[C@H](O)c1ccccc1F,2.396134142816708,9,9,0.7715638279914856,0.25235724449157715,0.45413219928741455,0.4383382201194763,1.4780532717704773,0.45853644609451294,0.6181639432907104,0.30672788619995117,0.49504950495049505
COCNCC1=CC(=CC=C1)F,COCNCc1cccc(F)c1,2.0504501586929056,8,9,0.6143537759780884,0.23819109797477722,0.623181939125061,0.4110024571418762,1.4757268130779266,0.3629591464996338,0.6356299519538879,0.32333922386169434,0.6410256410256411
CC(CN)(C1=CC=C(C=C1)F)O,CC(O)(CN)c1ccc(F)cc1,2.5289205938656583,6,7,0.4832789897918701,0.44313085079193115,0.5397131443023682,0.4465468227863312,1.4661229848861694,0.4389481246471405,0.4910685122013092,0.4630582332611084,0.41904761904761906
C1=CC(=CC=C1CCNCO)F,OCNCCc1ccc(F)cc1,1.896725271815077,7,7,0.8797690868377686,0.0318688303232193,0.5539522171020508,0.43221282958984375,1.4655901342630386,0.37510570883750916,0.7564050555229187,0.22300708293914795,0.5238095238095238
CNC[C@H](C1=CC=CC=C1F)O,CNC[C@@H](O)c1ccccc1F,2.396134142816708,9,9,0.77043616771698,0.23256780207157135,0.46110913157463074,0.4317462146282196,1.464113101363182,0.44771426916122437,0.6208170652389526,0.29610675573349,0.49504950495049505
CNC(CO)C1=CC=C(C=C1)F,CNC(CO)c1ccc(F)cc1,2.302727149809714,7,7,0.8805595636367798,-0.055458344519138336,0.6190900802612305,0.41489264369010925,1.444191299378872,0.3590853214263916,0.7808223366737366,0.1655522584915161,0.7380952380952381
C1=CC(=CC=C1CNCCF)O,Oc1ccc(CNCCF)cc1,2.003295860050372,7,7,0.75844407081604,0.1913870871067047,0.47630763053894043,0.41745999455451965,1.4261387884616852,0.41124290227890015,0.6504947543144226,0.28073030710220337,0.5301204819277109
CC1=CC(=C(C=C1)F)CNOC,CONCc1cc(C)ccc1F,2.232380722246999,7,9,0.7096092700958252,0.1862708032131195,0.5266990065574646,0.39458081126213074,1.4225790798664093,0.3743800222873688,0.6204807758331299,0.2763105630874634,0.5057471264367817
CC1=CC(=C(C=C1)CNOC)F,CONCc1ccc(C)cc1F,2.2417793236456003,7,9,0.678736686706543,0.26949596405029297,0.46401163935661316,0.40563055872917175,1.412244290113449,0.41961485147476196,0.5759696960449219,0.303399920463562,0.5057471264367817
CNCC(C1=CC=CC=C1F)O,CNCC(O)c1ccccc1F,2.396134142816708,9,9,0.7555416822433472,0.18753767013549805,0.46090152859687805,0.40724655985832214,1.4039808809757233,0.4160756468772888,0.6101604700088501,0.26688507199287415,0.49504950495049505
C1=CC(=CC(=C1)F)CNCCO,OCCNCc1cccc(F)c1,1.6887804754349887,9,9,0.7143981456756592,0.20678699016571045,0.4798063635826111,0.4250233769416809,1.4009914994239807,0.40086275339126587,0.6321430206298828,0.2901279628276825,0.9696969696969697
COCNCC1=CC=CC=C1F,COCNCc1ccccc1F,2.062581832901051,8,9,0.5642340183258057,0.17796827852725983,0.6537057161331177,0.3797124922275543,1.3959080129861832,0.3069992661476135,0.6222143173217773,0.3029395639896393,0.6024096385542169
C[C@@](CN)(C1=CC=C(C=C1)F)O,C[C@@](O)(CN)c1ccc(F)cc1,2.5289205938656583,6,7,0.44748109579086304,0.44157499074935913,0.5062286853790283,0.4335848093032837,1.3952847719192505,0.4291490614414215,0.4553787410259247,0.4549140930175781,0.41904761904761906
CN[C@H](CO)C1=CC=C(C=C1)F,CN[C@H](CO)c1ccc(F)cc1,2.302727149809714,7,7,0.848012387752533,-0.04484932869672775,0.5916900634765625,0.4014020562171936,1.3948531225323677,0.344756543636322,0.7491151094436646,0.1710241138935089,0.7380952380952381
CNC(CO)C1=CC(=CC=C1)F,CNC(CO)c1cccc(F)c1,2.4197858910684555,9,9,0.7557843923568726,0.07642991840839386,0.5556604266166687,0.3814343810081482,1.3878747373819351,0.3478020429611206,0.6705737113952637,0.21062567830085754,0.7209302325581395
[2H]C([2H])(C1=CC=C(C=C1)F)NCCO,[2H]C([2H])(NCCO)c1ccc(F)cc1,3.23289839945732,7,7,0.6820470094680786,0.037452735006809235,0.6531919836997986,0.3650634288787842,1.3726917281746864,0.30134594440460205,0.6748011112213135,0.2176462560892105,0.6597938144329897
C[C@](CN)(C1=CC=C(C=C1)F)O,C[C@](O)(CN)c1ccc(F)cc1,2.5289205938656583,6,7,0.42681753635406494,0.43491947650909424,0.5030739307403564,0.42405059933662415,1.3648109436035156,0.41775238513946533,0.44134432077407837,0.45067310333251953,0.41904761904761906
C1=CC(=CC(=C1)F)CCNCO,OCNCCc1cccc(F)c1,2.007152421136345,9,9,0.7223520874977112,0.19613222777843475,0.4439527988433838,0.42897599935531616,1.3624371141195297,0.40154850482940674,0.6206775903701782,0.2965226471424103,0.5116279069767442
CN[C@@H](CO)C1=CC=C(C=C1)F,CN[C@@H](CO)c1ccc(F)cc1,2.302727149809714,7,7,0.871736466884613,-0.055387288331985474,0.5442577004432678,0.3786514699459076,1.3606068789958954,0.34009212255477905,0.7412236928939819,0.13465513288974762,0.7380952380952381
CC(CO)(C1=CC=C(C=C1)F)N,CC(N)(CO)c1ccc(F)cc1,2.4840071323271964,6,7,0.5515602827072144,0.18950042128562927,0.6141743659973145,0.3797314167022705,1.355235069990158,0.32207873463630676,0.5834840536117554,0.324512779712677,0.5520833333333334
